index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
79347,887,3,20/03/2013,614,1,1,0,0,6306.249
462803,73,1,28/04/2014,601,1,1,0,1,7174.553
141713,13,4,02/04/2015,501,1,1,0,1,5400.333
703618,1049,2,03/09/2013,580,1,0,0,1,5168.2866
308360,144,4,05/02/2015,769,1,1,0,0,7681.7935
317995,847,3,14/08/2013,1018,1,1,0,1,9237.268
364408,796,3,08/05/2013,717,1,0,0,0,6364.809
27886,396,4,11/06/2015,1139,1,0,0,0,8557.907
706814,1080,7,15/09/2013,0,0,0,0,0,0.0
514516,675,5,26/09/2014,338,1,0,0,0,3247.1177
577373,1099,1,01/12/2014,1236,1,1,0,0,11337.99
190561,791,1,11/05/2015,858,1,0,0,0,7079.209
92512,1014,2,24/03/2015,1476,1,0,0,0,11101.2
565163,487,2,04/11/2014,737,1,1,0,0,7541.953
500246,427,3,13/02/2013,701,1,0,0,1,6024.469
223708,254,5,14/11/2014,282,1,1,0,0,3255.3928
555732,43,5,31/01/2014,710,1,0,0,0,6488.9565
654150,1074,2,09/06/2015,421,1,0,0,0,4053.4185
558350,549,6,29/06/2013,380,1,0,0,0,3570.0269
52167,1095,2,08/01/2013,720,1,1,0,0,7304.68
296981,295,1,28/10/2013,612,1,0,0,1,5606.4634
332143,319,1,14/10/2013,863,1,0,0,1,7305.1855
426553,1002,4,10/04/2014,642,1,0,0,0,5195.784
481847,448,6,06/12/2014,544,1,0,0,0,5275.963
100496,527,2,03/09/2013,1046,1,0,0,1,9157.098
706377,255,5,12/04/2013,652,1,1,0,0,6676.873
599169,581,5,04/07/2014,651,1,1,0,0,6445.446
55294,185,6,05/01/2013,550,1,0,0,0,5455.638
218737,244,6,22/11/2014,538,1,0,0,0,5199.106
266706,1082,6,05/01/2013,877,1,0,0,0,7803.681
441953,216,5,20/03/2015,837,1,1,0,0,7875.853
127184,350,4,05/03/2015,508,1,1,0,0,5766.767
312223,748,1,31/03/2014,822,1,1,0,0,9587.857
583377,718,1,08/12/2014,962,1,0,0,0,7651.4946
523743,739,5,21/02/2014,789,1,1,0,0,7894.294
476775,614,7,21/12/2014,0,0,0,0,0,0.0
620142,673,2,18/02/2014,615,1,1,0,0,6682.3403
460092,83,1,10/06/2013,367,1,0,0,0,3610.0435
169260,976,3,18/09/2013,598,1,0,0,0,5287.237
177084,637,6,06/04/2013,518,1,0,0,0,5160.1626
645354,122,2,07/01/2014,714,1,1,0,0,7586.4297
645737,898,1,24/11/2014,1013,1,1,0,0,9864.406
272578,1080,4,26/06/2014,710,1,0,0,0,5949.804
600374,291,1,30/03/2015,1290,1,1,0,0,12335.517
566038,24,4,03/01/2013,711,1,0,0,1,6498.711
381862,1096,7,18/08/2013,0,0,0,0,0,0.0
535335,637,5,30/05/2014,860,1,0,0,0,7405.4443
499411,1002,2,02/06/2015,850,1,1,0,0,8036.3657
625219,666,1,10/03/2014,497,1,0,0,0,4607.6006
61823,1089,7,24/11/2013,0,0,0,0,0,0.0
653471,334,6,31/08/2013,515,1,0,0,0,4933.691
441789,300,6,30/08/2014,951,1,0,0,1,7943.074
155435,207,1,22/09/2014,1166,1,0,0,0,8817.075
226567,683,3,27/05/2015,854,1,0,0,0,6508.4805
107330,1094,2,14/05/2013,394,1,1,0,0,4972.6147
149417,700,4,09/07/2015,576,1,0,0,0,5315.506
191690,959,2,26/08/2014,744,1,0,0,0,5934.272
146544,766,7,22/06/2014,0,0,0,0,0,0.0
383603,1011,6,08/06/2013,977,1,0,0,0,8120.2285
452941,570,5,13/12/2013,676,1,0,0,0,6546.101
629103,685,2,10/09/2013,689,1,1,0,0,7438.8687
30258,158,3,16/04/2014,681,1,1,0,1,7414.3647
219501,66,5,29/05/2015,522,1,0,0,1,5134.4414
528607,76,2,30/07/2013,1080,1,1,0,0,9936.702
397525,572,3,16/10/2013,458,1,0,0,0,4591.179
314281,184,6,11/10/2014,510,1,0,0,0,5040.0176
489418,1034,5,06/12/2013,775,1,1,0,0,7531.34
182776,559,7,11/08/2013,0,0,0,0,0,0.0
335928,862,2,23/12/2014,1561,1,0,0,1,11765.8125
198358,171,2,11/11/2014,962,1,1,0,0,9135.997
400219,33,7,07/12/2014,0,0,0,0,0,0.0
427476,936,4,27/11/2014,963,1,1,0,0,8385.923
31892,948,2,18/02/2014,1682,1,1,0,0,10444.083
109374,371,6,04/05/2013,551,1,0,0,0,5740.6553
385320,242,1,05/05/2014,378,1,1,0,0,4631.435
517169,133,5,17/01/2014,622,1,0,0,0,5771.1323
369733,1031,1,15/12/2014,681,1,1,0,0,7466.5415
71343,850,4,07/02/2013,710,1,1,0,0,6926.924
42363,860,5,05/06/2015,833,1,1,0,0,7804.5073
612665,836,6,06/07/2013,301,1,0,0,0,2680.674
428563,965,6,30/11/2013,908,1,0,0,0,7620.91
610249,1096,1,26/01/2015,763,1,1,0,0,8354.8
669222,504,3,03/09/2014,836,1,1,0,1,8059.6245
484348,230,1,30/12/2013,1327,1,0,0,1,11700.371
194089,826,1,02/12/2013,1170,1,1,0,0,11979.643
328888,975,2,30/07/2013,767,1,1,0,1,7908.2993
485880,602,2,28/10/2014,547,1,0,0,1,5081.417
699868,953,5,19/09/2014,553,1,1,0,0,5884.6055
265929,187,6,02/11/2013,491,1,0,0,0,4927.442
154648,792,5,18/10/2013,599,1,0,0,0,5504.221
376328,1035,4,27/11/2014,744,1,1,0,0,7338.3
530275,523,3,29/07/2015,1515,1,1,0,1,13102.617
441109,723,4,04/04/2013,461,1,0,0,1,4564.5503
26050,1025,7,26/05/2013,0,0,0,0,0,0.0
247671,18,7,04/01/2015,0,0,0,0,0,0.0
615467,997,3,03/09/2014,378,1,1,0,1,4426.0107
267972,400,6,05/10/2013,805,1,0,0,0,7268.086
22318,1047,2,09/07/2013,491,1,0,0,0,4828.1465
430083,819,1,02/09/2013,472,1,0,0,0,4459.1553
510014,668,1,02/06/2014,1562,1,1,0,0,14062.441
343803,585,4,22/01/2015,666,1,0,0,0,5751.445
85161,99,1,10/03/2014,404,1,0,0,0,3989.4607
505852,965,6,22/11/2014,847,1,0,0,0,7011.607
266131,590,4,21/02/2013,376,1,1,0,0,4366.81
397091,709,2,02/06/2015,1682,1,1,0,0,14067.051
112013,58,7,20/10/2013,0,0,0,0,0,0.0
492019,409,7,09/02/2014,0,0,0,0,0,0.0
73240,850,6,04/04/2015,826,1,0,0,0,7259.88
203948,1058,3,06/03/2013,737,1,1,0,0,7264.372
603210,1067,7,13/04/2014,0,0,0,0,0,0.0
82813,777,1,21/04/2014,0,0,0,b,1,0.0
634511,155,3,21/05/2014,632,1,1,0,0,6911.55
28171,598,1,29/06/2015,871,1,1,0,0,9504.324
198571,493,2,01/07/2014,902,1,1,0,0,8827.009
70073,628,7,03/08/2014,0,0,0,0,1,0.0
551321,524,1,30/12/2013,1193,1,0,0,1,10801.269
509286,966,4,04/04/2013,585,1,0,0,1,4724.8784
24413,1022,5,27/12/2013,791,1,0,0,1,6679.942
367168,380,3,05/03/2014,1720,1,1,0,0,14169.329
103724,132,3,14/01/2015,579,1,1,0,0,6229.829
704886,400,5,26/06/2015,999,1,0,0,0,8163.9683
568270,988,4,29/08/2013,790,1,1,0,0,7495.595
627934,906,2,19/03/2013,1476,1,1,0,0,13418.202
520091,1028,2,05/11/2013,689,1,1,0,0,7116.8306
505933,1100,6,23/03/2013,484,1,0,0,0,4080.5188
67603,759,1,14/01/2013,607,1,0,0,0,5079.354
96570,223,1,27/10/2014,716,1,0,0,0,5887.7285
696883,936,7,15/03/2015,0,0,0,0,0,0.0
216455,780,6,11/07/2015,341,1,0,0,0,3051.4739
472114,259,5,28/11/2014,2677,1,1,0,0,14996.478
437836,131,6,09/11/2013,582,1,0,0,0,5676.038
467331,251,3,28/01/2015,2241,1,1,0,0,17369.674
423483,1079,6,17/01/2015,517,1,0,0,0,4967.445
533535,1003,3,05/03/2014,1029,1,1,0,0,8886.683
82465,980,4,05/09/2013,450,1,0,0,0,4371.181
245480,654,2,27/01/2015,766,1,1,0,0,7948.199
155723,966,4,25/07/2013,517,1,0,0,1,4280.9907
167485,1020,1,22/09/2014,929,1,0,0,0,7100.4775
574217,969,3,19/03/2014,610,1,1,0,0,5852.704
307718,1038,2,07/04/2015,490,1,0,0,1,4643.255
250666,516,3,09/07/2014,453,1,0,0,1,4379.712
233447,733,1,14/01/2013,3171,1,0,0,0,15977.868
9408,595,6,31/05/2014,1881,1,0,0,0,12871.407
532318,260,3,16/07/2014,962,1,1,0,1,8769.851
213221,768,6,02/02/2013,1251,1,0,0,0,9832.227
149118,940,1,14/01/2013,627,1,0,0,0,5550.543
643815,364,4,27/06/2013,563,1,0,0,0,5009.7275
205464,506,3,22/07/2015,763,1,0,0,1,6336.735
172737,671,3,29/05/2013,507,1,1,0,1,5561.4746
358803,300,6,24/01/2015,862,1,0,0,0,7374.6914
432064,84,2,17/06/2014,1563,1,1,0,0,13914.783
243176,219,4,07/05/2015,455,1,1,0,0,4960.392
165487,934,5,22/03/2013,764,1,1,0,0,7262.9707
206630,125,3,01/04/2015,1906,1,1,0,1,15055.685
380228,176,3,04/12/2013,757,1,1,0,0,7598.457
278339,223,2,26/11/2013,675,1,0,0,0,5655.617
125602,326,1,14/07/2014,429,1,1,0,0,5353.498
707930,339,2,27/08/2013,745,1,1,0,0,7709.8296
647013,872,3,08/04/2015,659,1,0,0,1,5697.1636
404917,579,7,23/11/2014,0,0,0,0,0,0.0
607690,974,5,28/02/2014,1599,1,0,0,0,10952.738
63394,979,7,12/04/2015,0,0,0,0,0,0.0
334403,880,3,04/06/2014,806,1,1,0,0,7788.9585
440195,910,7,31/03/2013,0,0,0,0,0,0.0
87636,1084,6,04/07/2015,614,1,0,0,0,5813.4336
189540,92,5,12/06/2015,453,1,0,0,0,4446.3936
18218,14,6,20/06/2015,402,1,0,0,0,3696.129
396021,587,1,30/12/2013,960,1,0,0,1,8237.092
442052,230,4,24/10/2013,856,1,1,0,0,8512.757
397202,689,6,15/03/2014,589,1,0,0,0,5951.297
251121,599,1,13/05/2013,1096,1,1,0,0,11111.303
463013,596,7,22/12/2013,0,0,0,0,0,0.0
655331,576,1,11/03/2013,749,1,0,0,0,6023.156
327407,141,4,26/06/2014,493,1,0,0,0,4646.9077
355157,751,1,21/04/2014,0,0,0,b,1,0.0
654124,877,5,01/03/2013,925,1,0,0,0,7783.4614
602473,375,2,23/04/2013,948,1,1,0,0,9270.711
414480,230,1,08/12/2014,988,1,0,0,0,7826.74
574764,545,3,22/01/2014,1087,1,1,0,0,10425.509
136740,1022,1,04/03/2013,1093,1,1,0,0,10863.451
240843,597,3,20/08/2014,756,1,1,0,1,7552.7373
130323,559,7,08/06/2014,0,0,0,0,0,0.0
688030,1024,6,18/07/2015,825,1,0,0,0,7231.2285
43133,36,2,17/03/2015,1205,1,1,0,0,10861.444
172856,702,2,28/05/2013,351,1,1,0,1,4280.0034
446048,623,7,10/02/2013,0,0,0,0,0,0.0
36534,105,4,17/10/2013,483,1,0,0,0,4501.6587
612801,902,2,19/11/2013,648,1,1,0,0,6894.3584
256750,11,6,11/04/2015,786,1,0,0,0,6713.4253
623446,1039,5,28/06/2013,629,1,0,0,0,5765.94
63314,102,1,16/02/2015,1174,1,1,0,0,11464.435
238452,543,5,18/10/2013,175,1,0,0,1,1745.2861
43919,827,4,02/01/2014,1910,1,0,0,1,13615.329
258378,110,3,08/10/2014,647,1,1,0,0,6733.855
59774,945,1,05/01/2015,698,1,1,0,1,7137.994
31637,582,3,12/03/2014,749,1,0,0,0,6020.2993
673741,554,4,16/01/2014,428,1,0,0,0,4111.857
659942,486,2,08/07/2014,384,1,0,0,1,3737.2534
349639,637,6,15/02/2014,520,1,0,0,0,5160.1626
394865,806,5,31/01/2014,578,1,0,0,0,5884.7188
255648,887,6,21/06/2014,462,1,0,0,0,4458.292
379128,374,6,04/04/2015,668,1,0,0,0,6689.2603
540897,1025,5,04/01/2013,804,1,0,0,1,6781.4707
662220,638,2,06/08/2013,431,1,0,0,1,4240.31
160268,123,6,09/05/2015,490,1,0,0,0,4813.535
654290,905,4,19/02/2015,1108,1,1,0,0,10042.546
599039,536,5,05/04/2013,989,1,0,0,1,8623.729
651027,763,7,01/02/2015,0,0,0,0,0,0.0
553569,191,6,10/08/2013,694,1,0,0,0,6567.464
271750,957,4,20/02/2014,948,1,1,0,0,8355.758
709864,268,4,04/06/2015,618,1,1,0,0,6026.08
300796,654,6,07/09/2013,266,1,0,0,0,2384.119
413674,612,6,07/09/2013,388,1,0,0,0,3787.7463
8402,747,3,27/08/2014,567,1,0,0,1,5457.6064
310059,656,6,18/05/2013,380,1,0,0,0,3476.977
319105,368,5,05/04/2013,592,1,0,0,1,5916.0195
689752,959,3,18/09/2013,552,1,0,0,0,4684.218
516276,329,2,03/02/2015,708,1,1,0,0,7332.0405
338342,97,3,22/07/2015,535,1,0,0,1,4893.1064
666229,314,2,13/08/2013,661,1,1,0,1,7154.3213
8353,463,7,11/01/2015,0,0,0,0,0,0.0
386012,258,1,20/05/2013,0,0,0,a,0,0.0
471619,283,3,13/11/2013,621,1,0,0,0,5451.947
612347,556,1,15/04/2013,754,1,0,0,0,6033.323
514445,388,5,24/01/2014,1211,1,1,0,0,10929.733
396179,67,3,03/09/2014,837,1,1,0,1,8386.123
590638,725,5,16/01/2015,677,1,1,0,0,6981.1426
683448,219,4,06/06/2013,416,1,1,0,0,4674.8726
218062,1077,2,10/02/2015,479,1,0,0,0,4465.699
706606,322,4,23/05/2013,589,1,0,0,0,5290.3604
453487,814,3,20/02/2013,581,1,1,0,1,6183.6265
240904,134,7,30/06/2013,0,0,0,0,0,0.0
326681,54,4,11/07/2013,657,1,0,0,0,6028.2793
272937,662,5,26/04/2013,854,1,1,0,0,8147.3853
11415,126,7,19/04/2015,0,0,0,0,0,0.0
436957,1001,6,30/11/2013,471,1,0,0,0,4472.6055
171033,657,4,13/02/2014,598,1,0,0,0,5285.6577
632521,590,4,14/03/2013,319,1,0,0,0,3253.542
179002,193,3,25/12/2013,0,0,0,c,1,0.0
345971,168,6,21/09/2013,465,1,0,0,0,4564.3687
463457,16,1,22/07/2013,839,1,0,0,0,6323.4062
674866,244,1,04/02/2013,738,1,1,0,0,8079.806
479231,545,7,08/02/2015,0,0,0,0,0,0.0
369184,1032,6,19/01/2013,492,1,0,0,0,4878.482
564608,290,5,31/05/2013,987,1,1,0,0,8793.0625
421305,548,4,24/01/2013,335,1,1,0,0,4147.8096
312789,733,1,04/08/2014,3508,1,1,0,1,18379.38
548456,654,4,06/06/2013,716,1,1,0,0,7140.0566
195259,272,6,04/05/2013,377,1,0,0,0,3612.314
669573,1017,3,20/03/2013,1176,1,1,0,0,10297.961
599293,708,2,20/05/2014,462,1,1,0,0,5550.3086
33900,819,4,08/01/2015,454,1,1,0,0,4995.468
74619,99,3,26/06/2013,372,1,0,0,0,3664.263
284898,982,2,10/12/2013,710,1,0,0,0,6156.1953
402135,683,5,03/04/2015,0,0,1,b,1,0.0
447277,194,3,16/10/2013,373,1,0,0,0,3747.0798
588164,853,2,30/06/2015,1201,1,1,0,0,10751.192
456931,53,1,28/04/2014,650,1,1,0,1,7784.198
221701,281,4,07/02/2013,508,1,1,0,0,5541.158
535271,101,2,02/09/2014,879,1,1,0,0,8752.873
171677,440,5,05/06/2015,769,1,1,0,1,7407.653
226127,994,2,18/03/2014,435,1,1,0,0,5172.0176
414979,168,2,30/07/2013,930,1,1,0,1,9030.735
500051,48,7,27/10/2013,0,0,0,0,0,0.0
329177,652,6,15/02/2014,501,1,0,0,0,4800.6885
541113,934,6,11/01/2014,474,1,0,0,0,4627.6562
124681,223,6,29/03/2014,589,1,0,0,0,5612.329
284177,378,5,26/12/2014,0,0,0,c,1,0.0
90749,865,3,17/07/2013,624,1,1,0,0,6320.095
237894,466,5,31/01/2014,861,1,0,0,0,7290.9414
506152,789,5,14/02/2014,546,1,0,0,0,5092.0986
622882,61,7,07/06/2015,0,0,0,0,0,0.0
34430,765,4,19/12/2013,1068,1,1,0,0,9637.507
268594,673,1,23/02/2015,500,1,0,0,0,4607.6006
368485,258,3,25/06/2014,444,1,0,0,0,4315.05
602478,740,3,08/10/2014,499,1,1,0,0,5756.694
202788,1080,1,16/09/2013,764,1,0,0,0,6193.9116
675955,918,5,20/06/2014,661,1,1,0,0,6527.244
611958,857,6,22/06/2013,1004,1,0,0,0,8214.409
597571,837,1,01/07/2013,482,1,1,0,0,5495.7188
317074,516,7,01/03/2015,0,0,0,0,0,0.0
380943,446,2,27/05/2014,505,1,0,0,0,4616.1064
649251,835,4,30/05/2013,0,0,1,a,0,0.0
386136,140,7,03/02/2013,0,0,0,0,0,0.0
411910,207,3,14/08/2013,1584,1,1,0,0,13456.01
119756,961,4,29/01/2015,668,1,1,0,0,6431.3516
251963,772,2,18/03/2014,507,1,1,0,0,5663.841
292719,1089,2,02/09/2014,1050,1,1,0,0,10544.047
77065,521,3,05/03/2014,421,1,1,0,0,4951.9326
206967,823,5,17/01/2014,600,1,0,0,0,5525.115
521339,436,6,14/09/2013,426,1,0,0,0,4023.1663
363365,483,7,09/03/2014,0,0,0,0,0,0.0
481077,215,2,25/03/2014,333,1,0,0,0,3306.6309
711386,109,5,29/05/2015,802,1,0,0,0,6985.604
66970,858,1,16/12/2013,590,1,1,0,0,6660.333
435729,425,4,05/03/2015,501,1,1,0,0,5186.095
426284,357,5,24/07/2015,905,1,0,0,1,7529.4653
435236,255,1,02/02/2015,575,1,1,0,0,6781.3506
199039,798,6,07/02/2015,343,1,0,0,0,3283.7905
99250,366,6,23/03/2013,304,1,0,0,0,3127.4736
580140,534,2,07/04/2015,510,1,0,0,1,4744.8447
254820,179,5,20/06/2014,1176,1,1,0,0,10270.497
155130,258,2,03/09/2013,464,1,0,0,1,4431.2417
503682,693,5,29/08/2014,384,1,0,0,1,3841.388
288534,999,4,24/10/2013,685,1,1,0,1,7270.2134
67050,834,6,19/04/2014,492,1,0,0,0,4775.408
174771,512,4,31/10/2013,1410,1,0,0,1,7626.7397
442288,818,2,23/04/2013,662,1,1,0,0,7057.651
606734,534,6,12/10/2013,606,1,0,0,0,5746.9067
431156,1084,2,17/12/2013,1099,1,1,0,0,10595.237
424121,34,2,10/03/2015,861,1,0,0,0,6978.1772
557753,101,4,27/03/2014,686,1,0,0,0,5882.806
520831,187,1,02/03/2015,885,1,1,0,0,9471.928
376589,20,1,23/09/2013,1041,1,1,0,0,10796.685
7670,828,7,26/10/2014,0,0,0,0,0,0.0
303546,434,1,12/08/2013,823,1,1,0,1,9318.181
236740,738,1,04/05/2015,864,1,1,0,0,9707.961
145734,351,5,07/03/2014,569,1,1,0,0,6292.0474
134420,1020,4,30/01/2014,905,1,0,0,0,7017.159
691699,86,7,11/08/2013,0,0,0,0,0,0.0
233889,266,3,17/06/2015,573,1,1,0,0,6015.9746
653554,608,5,20/06/2014,1024,1,1,0,0,9329.616
481046,708,5,21/02/2014,493,1,1,0,1,5441.3584
423103,734,3,05/02/2014,605,1,1,0,0,6568.1997
693486,776,7,07/06/2015,0,0,0,0,0,0.0
90193,1060,2,09/04/2013,853,1,1,0,0,8382.24
119482,182,2,29/04/2014,507,1,1,0,0,5966.9565
525167,542,3,16/01/2013,431,1,0,0,0,4500.671
239754,602,1,06/05/2013,610,1,0,0,0,5456.732
332806,101,4,07/11/2013,777,1,1,0,0,7722.3433
142056,784,7,30/06/2013,0,0,0,0,0,0.0
673000,679,7,17/11/2013,0,0,0,0,0,0.0
567353,535,4,14/08/2014,793,1,0,0,1,6436.324
696641,844,4,06/02/2014,516,1,1,0,0,5353.092
628766,595,7,24/05/2015,0,0,0,0,0,0.0
544695,25,6,30/03/2013,1831,1,0,0,0,12691.663
652921,416,3,03/12/2014,1819,1,1,0,0,13901.646
436682,539,4,22/01/2015,966,1,0,0,0,7912.0327
158580,77,3,28/08/2013,642,1,1,0,0,6733.8223
184394,641,2,09/07/2013,493,1,0,0,0,4502.852
523534,445,6,10/01/2015,1201,1,0,0,0,9406.686
133026,318,5,03/05/2013,822,1,1,0,0,8099.2695
296285,394,3,13/11/2013,539,1,0,0,0,4977.574
14477,761,5,07/02/2014,1014,1,1,0,1,9143.947
130799,706,2,28/07/2015,578,1,1,0,0,6573.127
17306,41,5,28/02/2014,433,1,0,0,0,4384.744
617975,894,1,07/07/2014,958,1,0,0,1,8130.9556
668657,169,6,03/05/2014,801,1,0,0,0,7147.757
460228,1012,1,09/06/2014,0,0,0,a,0,0.0
26534,310,4,29/08/2013,868,1,1,0,0,8277.805
8504,1003,3,22/01/2014,847,1,1,0,0,7752.2007
253700,970,3,28/08/2013,429,1,1,0,0,4749.8716
586553,239,5,27/09/2013,627,1,1,0,0,6140.8574
463307,998,1,16/03/2015,647,1,1,0,0,7596.0996
245670,278,5,14/06/2013,692,1,0,0,0,6309.844
291128,49,2,26/05/2015,539,1,0,0,1,6000.3774
615053,603,3,28/08/2013,0,0,1,0,1,0.0
263461,658,2,30/04/2013,824,1,1,0,0,8408.944
42414,1072,3,06/02/2013,786,1,1,0,0,7693.7
527688,1028,2,22/10/2013,587,1,1,0,1,6359.4507
697845,288,4,18/06/2015,489,1,1,0,0,5456.8647
28136,111,1,30/03/2015,838,1,1,0,1,9405.22
245444,581,2,14/07/2015,703,1,1,0,0,7243.852
394116,979,7,12/05/2013,0,0,0,0,0,0.0
601504,644,7,22/02/2015,0,0,0,0,0,0.0
349857,589,1,03/06/2013,577,1,1,0,0,6846.186
658989,295,2,25/02/2014,619,1,0,0,0,5390.288
73913,388,1,18/02/2013,1586,1,1,0,0,15551.082
579219,9,6,04/10/2014,621,1,0,0,0,5736.781
628094,445,4,29/08/2013,1381,1,1,0,1,11349.321
430442,204,4,05/09/2013,445,1,0,0,1,4314.3657
694123,296,1,06/10/2014,1011,1,1,0,0,10326.728
637678,497,7,24/05/2015,0,0,0,0,0,0.0
697006,481,1,18/02/2013,523,1,1,0,0,6173.6084
174454,1100,6,06/12/2014,569,1,0,0,0,4832.876
290329,588,6,14/12/2013,614,1,0,0,0,5878.9316
79977,290,2,07/01/2014,918,1,1,0,1,8844.836
561228,1107,4,28/05/2015,635,1,0,0,1,5388.8237
645402,1019,6,25/01/2014,820,1,0,0,0,7194.7305
187053,945,5,17/01/2014,545,1,0,0,0,4711.303
